#            beta              |P|          |P|_err          chi_|P|       chi_|P|err          tau_int            Nconf
   5.68700000e+00   5.64708396e-03   8.72752549e-05   5.32945994e-02   2.53807275e-03   1.10341081e+00   1.00000000e+03
   5.77800000e+00   8.28186999e-03   1.24722981e-04   1.12818276e-01   5.86749517e-03   1.00000000e+00   1.00000000e+03
   5.81700000e+00   1.07080304e-02   1.00992357e-04   2.04540865e-01   1.01267908e-02   1.11921718e+00   1.00000000e+03
   5.85900000e+00   1.73629763e-02   3.55139713e-04   6.76061828e-01   4.41411841e-02   1.00000000e+00   1.00000000e+03
   5.89425000e+00   4.46989235e-02   7.04658911e-04   2.41786404e+00   8.25565710e-02   3.16682770e+00   1.00000000e+03
   5.92100000e+00   6.86495687e-02   3.81666381e-04   1.13438214e+00   5.87840833e-02   2.59304386e+01   1.00000000e+03
   5.96000000e+00   8.33079131e-02   3.22009023e-04   5.08908169e-01   2.85730520e-02   1.11399463e+00   1.00000000e+03
   6.15000000e+00   1.21903269e-01   2.61650592e-04   3.65689610e-01   1.65111960e-02   1.00630222e+00   1.00000000e+03
#   6.81800000e+00   2.08315485e-01   2.16809181e-04   3.60530533e-01   2.16104690e-02   1.00000000e+00   1.00000000e+03
