#TMeV s1 s3 q1 q3
166.50 3.0299e-01 9.2493e-03 -3.5720e-02 -6.3464e-04
167.00 3.0526e-01 9.1347e-03 -3.6072e-02 -5.9590e-04
167.50 3.0752e-01 9.0199e-03 -3.6423e-02 -5.5651e-04
168.00 3.0976e-01 8.9050e-03 -3.6773e-02 -5.1647e-04
168.50 3.1199e-01 8.7900e-03 -3.7122e-02 -4.7581e-04
169.00 3.1420e-01 8.6749e-03 -3.7470e-02 -4.3454e-04
169.50 3.1640e-01 8.5599e-03 -3.7816e-02 -3.9267e-04
170.00 3.1858e-01 8.4449e-03 -3.8161e-02 -3.5021e-04
170.50 3.2075e-01 8.3300e-03 -3.8504e-02 -3.0719e-04
171.00 3.2290e-01 8.2153e-03 -3.8846e-02 -2.6361e-04
171.50 3.2503e-01 8.1008e-03 -3.9186e-02 -2.1949e-04
172.00 3.2715e-01 7.9866e-03 -3.9525e-02 -1.7485e-04
172.50 3.2926e-01 7.8727e-03 -3.9863e-02 -1.2970e-04
173.00 3.3134e-01 7.7591e-03 -4.0198e-02 -8.4054e-05
173.50 3.3341e-01 7.6458e-03 -4.0533e-02 -3.7930e-05
174.00 3.3547e-01 7.5330e-03 -4.0865e-02 8.6565e-06
174.50 3.3751e-01 7.4207e-03 -4.1196e-02 5.5692e-05
175.00 3.3953e-01 7.3088e-03 -4.1525e-02 1.0316e-04
175.50 3.4153e-01 7.1974e-03 -4.1853e-02 1.5105e-04
176.00 3.4352e-01 7.0866e-03 -4.2178e-02 1.9934e-04
176.50 3.4550e-01 6.9764e-03 -4.2502e-02 2.4802e-04
177.00 3.4745e-01 6.8667e-03 -4.2824e-02 2.9707e-04
177.50 3.4939e-01 6.7577e-03 -4.3144e-02 3.4648e-04
178.00 3.5132e-01 6.6494e-03 -4.3463e-02 3.9624e-04
178.50 3.5323e-01 6.5417e-03 -4.3779e-02 4.4633e-04
179.00 3.5512e-01 6.4347e-03 -4.4094e-02 4.9673e-04
179.50 3.5699e-01 6.3285e-03 -4.4406e-02 5.4743e-04
180.00 3.5885e-01 6.2230e-03 -4.4717e-02 5.9841e-04
180.50 3.6069e-01 6.1182e-03 -4.5026e-02 6.4967e-04
181.00 3.6252e-01 6.0142e-03 -4.5333e-02 7.0119e-04
181.50 3.6433e-01 5.9110e-03 -4.5637e-02 7.5295e-04
182.00 3.6612e-01 5.8087e-03 -4.5940e-02 8.0494e-04
182.50 3.6790e-01 5.7071e-03 -4.6241e-02 8.5715e-04
183.00 3.6966e-01 5.6064e-03 -4.6540e-02 9.0957e-04
183.50 3.7140e-01 5.5065e-03 -4.6837e-02 9.6217e-04
184.00 3.7313e-01 5.4075e-03 -4.7131e-02 1.0149e-03
184.50 3.7484e-01 5.3093e-03 -4.7424e-02 1.0679e-03
185.00 3.7654e-01 5.2120e-03 -4.7714e-02 1.1210e-03
185.50 3.7822e-01 5.1156e-03 -4.8003e-02 1.1742e-03
186.00 3.7988e-01 5.0201e-03 -4.8289e-02 1.2276e-03
