-4000020	Anti-N(2570)+	2.57	0.3	6	-1	0	0	0	0.5	-1	1
5000070	omegaprime(2559)11(0)	2.559	0	11	0	0	0	0	0	0	32
5000034	fprime(2514)5(0)	2.514	0	5	0	0	0	0	0	0	32
2001056	Ksi(2500)0	2.5	0.1	6	1	-2	0	0	0.5	0	11
2001055	Ksi(2500)-	2.5	0.1	6	1	-2	0	0	0.5	-1	11
-2001055	Anti-Ksi(2500)-	2.5	0.1	6	-1	2	0	0	0.5	1	11
-2001056	Anti-Ksi(2500)0	2.5	0.1	6	-1	2	0	0	0.5	0	11
5000188	Omega*(2495)4(-1)	2.495	0	4	1	-3	0	0	0	-1	10
-5000188	Anti-Omega*(2495)4(-1)	2.495	0	4	-1	3	0	0	0	1	10
5000100	a(2491)3(0)	2.491	0	3	0	0	0	0	1	0	22
5000099	a(2491)3(1)	2.491	0	3	0	0	0	0	1	1	31
5000024	f(2491)3(0)	2.491	0	3	0	0	0	0	0	0	32
-5000099	Anti-a(2491)3(1)	2.491	0	3	0	0	0	0	1	-1	31
5000191	Omega*(2490)6(-1)	2.49	0	6	1	-3	0	0	0	-1	10
2001044	K4(2500)0	2.49	0.25	9	0	1	0	0	0.5	0	2
2001043	K4(2500)+	2.49	0.25	9	0	1	0	0	0.5	1	2
-2001043	Anti-K4(2500)+	2.49	0.25	9	0	-1	0	0	0.5	-1	2
-2001044	Anti-K4(2500)0	2.49	0.25	9	0	-1	0	0	0.5	0	2
-5000191	Anti-Omega*(2490)6(-1)	2.49	0	6	-1	3	0	0	0	1	10
5000061	omegaprime(2481)9(0)	2.481	0	9	0	0	0	0	0	0	32
4000018	Omega(2470)	2.474	0.072	2	1	-3	0	0	0	-1	2
-4000018	Anti-Omega(2470)	2.474	0.072	2	-1	3	0	0	0	1	2
5000069	f(2472)11(0)	2.473	0	11	0	0	0	0	0	0	32
5000144	a(2472)11(0)	2.472	0	11	0	0	0	0	1	0	22
5000143	a(2472)11(1)	2.472	0	11	0	0	0	0	1	1	31
5000023	omegaprime(2472)3(0)	2.472	0	3	0	0	0	0	0	0	32
-5000143	Anti-a(2472)11(1)	2.472	0	11	0	0	0	0	1	-1	31
5000060	fprime(2469)9(0)	2.47	0	9	0	0	0	0	0	0	32
4000017	f6(2510)	2.469	0.283	13	0	0	0	0	0	0	3
2001002	a6(2450)0	2.45	0.4	13	0	0	0	0	1	0	3
2001001	a6(2450)+	2.45	0.4	13	0	0	0	0	1	1	2
-2001001	Anti-a6(2450)+	2.45	0.4	13	0	0	0	0	1	-1	2
5000187	Omega*(2440)4(-1)	2.44	0	4	1	-3	0	0	0	-1	10
