#            beta              |P|          |P|_err          chi_|P|       chi_|P|err          tau_int            Nconf
   5.81100000e+00   3.23546002e-03   5.00702102e-05   4.11814927e-02   2.77111368e-03   1.07554562e+00   1.00000000e+03
   5.92300000e+00   4.90580292e-03   6.27375339e-05   8.80926752e-02   3.72450974e-03   1.00000000e+00   1.00000000e+03
   5.97100000e+00   5.99325371e-03   1.00182028e-04   1.37483698e-01   7.93093610e-03   1.00000000e+00   1.00000000e+03
   6.01900000e+00   9.12042127e-03   1.52080950e-04   4.22525865e-01   1.75013869e-02   1.05275914e+00   1.00000000e+03
   6.06239000e+00   2.38015687e-02   2.75223321e-04   1.65793235e+00   3.52185291e-02   4.21803278e+00   1.00000000e+03
   6.09100000e+00   3.57408400e-02   3.28409817e-04   9.46220142e-01   7.10389157e-02   2.59417192e+01   1.00000000e+03
   6.13300000e+00   4.49897531e-02   1.90552219e-04   4.25049217e-01   2.86253326e-02   1.00000000e+00   1.00000000e+03
   6.34800000e+00   7.02681511e-02   1.12034174e-04   3.34352977e-01   1.71201075e-02   1.00000000e+00   1.00000000e+03
