#         Beta              |P|          Err_|P|            X_|P|         ErrX_|P|            NConf
   6.03100000e+00   1.51514834e-03   1.12085714e-05   3.03841725e-02   6.20229225e-04   6.00000000e+03
   6.16900000e+00   1.85312582e-03   1.01191279e-05   4.46931276e-02   7.96397769e-04   6.00000000e+03
   6.22700000e+00   2.15300809e-03   1.12782488e-05   6.12979625e-02   1.59256447e-03   6.00000000e+03
   6.28400000e+00   3.18659619e-03   2.38763356e-05   1.62048480e-01   5.08629458e-03   5.00000000e+03
   6.33514000e+00   7.77940528e-03   6.49570783e-05   5.75406372e-01   5.10809160e-03   6.00000000e+03
   6.36700000e+00   1.19138877e-02   4.28519685e-05   3.49997519e-01   8.70518259e-03   6.00000000e+03
   6.41400000e+00   1.52642561e-02   2.69445402e-05   2.03631294e-01   3.27456717e-03   6.00000000e+03
   6.65200000e+00   2.64457603e-02   2.51173608e-05   1.80703426e-01   2.71778060e-03   6.00000000e+03
