# q1 q3 q5
-4.0479450807248366e-02 3.4414619374921598e-04 -3.8228197689697383e-05
1.1134465972931579e-01 -1.1217753590226510e-03 1.5320080959822547e-04
-1.2450449062967622e-01 1.2066074204210994e-03 -2.5454390408659951e-04
6.4787504284687644e-02 -3.5764675311701963e-04 2.0113890177908664e-04
-1.3373265827745845e-02 -8.2660969978079246e-05 -6.0832181960490983e-05
-2.9386083130690439e+00 -3.7394274547546131e+00 -2.2978487975671236e+00
3.7990247808204338e+00 5.3744951207121803e+00 1.4746425032466186e+00
-2.6198187900109766e+00 -3.5544293648354763e+00 0.0000000000000000e+00
8.4469060415226394e-01 9.2870410944000026e-01 -1.7185948463798958e-01
