#         beta              |P|          |P|_err                X            X_err            Nconf
   5.92600000e+00   2.15145767e-03   8.27169995e-06   3.42243064e-02   5.13489756e-04   1.10000000e+04
   6.05300000e+00   2.80811602e-03   1.48265835e-05   5.89919194e-02   1.02270671e-03   1.10000000e+04
   6.10600000e+00   3.45754376e-03   1.87754358e-05   9.55210960e-02   1.43324853e-03   1.10000000e+04
   6.16000000e+00   5.17761454e-03   2.50249350e-05   2.61526567e-01   3.43510067e-03   1.10000000e+04
   6.20873000e+00   1.32970680e-02   7.79799954e-05   9.78092183e-01   9.13548022e-03   1.10000000e+04
   6.23800000e+00   2.02411923e-02   3.45515462e-05   5.51985493e-01   1.00832666e-02   1.10000000e+04
   6.28300000e+00   2.55368300e-02   3.34727996e-05   3.07011155e-01   4.21202963e-03   1.10000000e+04
   6.51200000e+00   4.25197323e-02   4.00767619e-05   2.54150519e-01   2.79312433e-03   1.10000000e+04
